Timestamp,Email Address,Gym Name,Gym Website,Gym Phone Number,Google Maps Link,Climbing,Bouldering Wall Height (ft),Rope Wall Height (ft),Campus Board,Spray Wall,Kilter Board [7x10 (Home)],Kilter Board [8x12],Kilter Board [12x12],Kilter Board [16x12],Tension Board [Tension 1 8x10 Full Set],Tension Board [Tension 1 8x10 Set A],Tension Board [Tension 1 8x10 Set B],Tension Board [Tension 1 8x10 Set C],Tension Board [Tension 1 8x12 Full Set],Tension Board [Tension 1 8x12 Set A],Tension Board [Tension 1 8x12 Set B],Tension Board [Tension 1 8x12 Set C],Tension Board [Tension 2 8x10 Spray],Tension Board [Tension 2 8x10 Mirror],Tension Board [Tension 2 8x12 Spray],Tension Board [Tension 2 8x12 Mirror],Tension Board [Tension 2 12x10 Spray],Tension Board [Tension 2 12x10 Mirror],Tension Board [Tension 2 12x12 Spray],Tension Board [Tension 2 12x12 Mirror],MoonBoard [MoonBoard 2016],MoonBoard [MoonBoard 2017],MoonBoard [MoonBoard 2019],MoonBoard [MoonBoard 2024],MoonBoard [MoonBoard Mini 2020],Fitness,Where there any questions you were unsure of your answers on?,Feel free to add any notes or comments as you see fit about this gym!
2/15/2024 12:16:06,gus.lipkin@gmail.com,CRG Harvard Square,https://centralrockgym.com/harvard-square/,16177143024,"https://www.google.com/maps/place/Central+Rock+Gym/@42.3731581,-71.1202262,18z/data=!3m1!4b1!4m6!3m5!1s0x89e377265725427d:0x79f36988e6bf2948!8m2!3d42.3731581!4d-71.1202262!16s%2Fg%2F11s8b6xhcj?hl=en&entry=ttu",Bouldering,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights, Yoga Studio",,
2/15/2024 12:18:47,gus.lipkin@gmail.com,CRG Randolph,https://centralrockgym.com/randolph/,17818852120,"https://www.google.com/maps/place/Central+Rock+Gym/@42.1995458,-71.0665039,17z/data=!3m1!4b1!4m6!3m5!1s0x89e4827612041f2d:0xe4cb071396a4df86!8m2!3d42.1995458!4d-71.0665039!16s%2Fg%2F11bw7d92p3?hl=en&entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",,45,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",,
2/15/2024 12:31:14,gus.lipkin@gmail.com,CRG Stoneham,https://centralrockgym.com/stoneham/,17814382905,"https://www.google.com/maps/place/Central+Rock+Gym/@42.4776725,-71.1109632,17z/data=!3m1!4b1!4m6!3m5!1s0x89e37544520ba279:0xc25aed0aebe44574!8m2!3d42.4776725!4d-71.1109632!16s%2Fg%2F11g3wy7dt9?hl=en&entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",,45,No,Unknown,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",,
2/15/2024 12:36:47,gus.lipkin@gmail.com,CRG Waltham,https://centralrockgym.com/waltham/,17818940874,"https://www.google.com/maps/place/Central+Rock+Gym/@42.387366,-71.201479,17z/data=!3m1!5s0x89e39d5a9a6e04fb:0x20f7cf011f7456de!4m14!1m7!3m6!1s0x89e39d6bdf23769b:0x2615ec336ed94e41!2sCentral+Rock+Gym!8m2!3d42.3873656!4d-71.2014795!16s%2Fg%2F11fjtbhlxk!3m5!1s0x89e39d6bdf23769b:0x2615ec336ed94e41!8m2!3d42.3873656!4d-71.2014795!16s%2Fg%2F11fjtbhlxk?hl=en&entry=ttu",Bouldering,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/2024 12:43:50,gus.lipkin@gmail.com,CRG Watertown,https://centralrockgym.com/watertown/,16177440081,"https://www.google.com/maps/place/Central+Rock+Gym/@42.369529,-71.198658,17z/data=!4m6!3m5!1s0x89e382aed38360bb:0x6c59748670876824!8m2!3d42.3695289!4d-71.1986579!16s%2Fg%2F1hm6j478y?hl=en&entry=ttu","Bouldering, Top Rope, Lead, Auto Belay, Speed",,48,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights, Yoga Studio",,
2/15/2024 12:49:52,gus.lipkin@gmail.com,CRG Worcester,https://centralrockgym.com/worcester/,15088527625,"https://www.google.com/maps/place/Central+Rock+Gym/@42.29693,-71.797256,17z/data=!4m6!3m5!1s0x89e407bacdf18b41:0xe04912a5aee3eb77!8m2!3d42.2969298!4d-71.7972562!16s%2Fg%2F1tfq5nx3?hl=en&entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",,42,Yes,,,,Adjustable,,,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights, Yoga Studio",,
2/15/2024 16:04:45,gus.lipkin@gmail.com,MetroRock Everett,https://metrorock.com/everett-home,16173877625,"https://www.google.com/maps/place/MetroRock+Climbing+Center/@42.4076153,-71.0774926,15z/data=!3m1!4b1!4m6!3m5!1s0x89e371142200c225:0x86658f5a7f34b222!8m2!3d42.4076158!4d-71.0671929!16s%2Fg%2F1wbrysyq?entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights, Yoga Studio",,
2/15/2024 16:08:43,gus.lipkin@gmail.com,MetroRock Newburyport,https://nbpt.metrorock.com/nbpt-home,19784997625,"https://www.google.com/maps/place/MetroRock+Newburyport/@42.8022115,-70.890457,15z/data=!3m2!4b1!5s0x89e2e1bc5483c1b3:0x2fc0de1937215078!4m6!3m5!1s0x89e2e1bdab0c5e7b:0xc4bcc9ff7e6d64b0!8m2!3d42.802212!4d-70.8801573!16s%2Fg%2F1td77l5p?entry=ttu","Bouldering, Top Rope, Auto Belay",,,Yes,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/2024 16:14:01,gus.lipkin@gmail.com,MetroRock Vermont,https://vt.metrorock.com/vermont-home,18028784500,"https://www.google.com/maps/place/MetroRock+Vermont/@44.5079394,-73.1519687,15z/data=!3m1!4b1!4m6!3m5!1s0x4cca70b4742bde51:0xb81a57995b9c3468!8m2!3d44.5079399!4d-73.141669!16s%2Fg%2F1q67h81rl?entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",,,Yes,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights",,
2/15/2024 16:18:59,gus.lipkin@gmail.com,MetroRock Littleton,https://littleton.metrorock.com/littleton-home,19789907625,"https://www.google.com/maps/place/MetroRock+Littleton/@42.5526839,-71.482758,15z/data=!3m1!4b1!4m6!3m5!1s0x89e3975b3c3642d1:0x257b8b8fff14c98c!8m2!3d42.5526844!4d-71.4724583!16s%2Fg%2F11h0zqx11k?entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",,,No,,,,Adjustable,,,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",,
2/15/2024 16:32:13,gus.lipkin@gmail.com,MetroRock Bushwick,https://bushwick.metrorock.com/bushwick-home,19295997625,"https://www.google.com/maps/place/MetroRock+Bushwick/@40.7080609,-73.9203297,17z/data=!3m2!4b1!5s0x89c25ea70df20e85:0x29e3e380af58b368!4m6!3m5!1s0x89c25ea7128f5eb7:0x8ed6f0def357a2c6!8m2!3d40.7080609!4d-73.9203297!16s%2Fg%2F11c76tzn3n?entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",,,Yes,Unknown,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights",,
2/15/2024 16:39:05,gus.lipkin@gmail.com,Vital Climbing Brooklyn,https://www.vitalclimbinggym.com/brooklyn,17162208195,"https://www.google.com/maps/place/VITAL+Climbing+Gym+-+Brooklyn/@40.7227164,-73.9650753,15z/data=!3m1!4b1!4m6!3m5!1s0x89c259e401e31fa9:0xd06fde84754166a6!8m2!3d40.7227169!4d-73.9547756!16s%2Fg%2F11j0yvpp3c?entry=ttu",Bouldering,,,Yes,,,,Adjustable,,,,,,,,,,,,,,,Unknown,,,,,,,,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",,
2/15/2024 16:51:21,gus.lipkin@gmail.com,CRG Glastonbury,https://centralrockgym.com/glastonbury/,18606598260,"https://www.google.com/maps/place/Central+Rock+Gym/@41.723398,-72.582553,17z/data=!4m6!3m5!1s0x89e6510920d34bd5:0xd5654c85fc836af2!8m2!3d41.7233982!4d-72.5825534!16s%2Fg%2F12cpl36q0?hl=en&entry=ttu","Bouldering, Top Rope, Lead, Auto Belay",,40,Yes,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",,
2/15/2024 16:54:50,gus.lipkin@gmail.com,CRG West Hartford,https://centralrockgym.com/west-hartford/,18603102556,"https://www.google.com/maps/place/Central+Rock+Gym/@41.7250814,-72.7301057,15z/data=!3m1!4b1!4m6!3m5!1s0x89e7adac3d495ad3:0xd909f314a6b4884d!8m2!3d41.7250819!4d-72.719806!16s%2Fg%2F11k9bs8z3p?entry=ttu",Bouldering,,,Yes,,,,Adjustable,,,,,,,,,,,,,,,,,,,,,,,"Cardio Machines, Free Weights, Weight Machines, Yoga Studio",Decoy,
